customer_id,gender,age,city,state,signup_date
1,Male,39,Delhi,Delhi,2024-04-07
2,Male,19,Surat,Gujarat,2023-11-11
3,Male,21,Kolkata,West Bengal,2022-06-24
4,Female,62,Chennai,Tamil Nadu,2022-08-18
5,Male,30,Pune,Maharashtra,2025-12-14
6,Female,49,Pune,Maharashtra,2023-04-13
7,Male,39,Mumbai,Maharashtra,2022-02-01
8,Female,42,Lucknow,Uttar Pradesh,2023-11-26
9,Female,44,Chennai,Tamil Nadu,2022-05-10
10,Female,34,Kolkata,West Bengal,2021-11-10
11,Female,23,Mumbai,Maharashtra,2022-05-05
12,Female,60,Surat,Gujarat,2024-07-23
13,Female,33,Lucknow,Uttar Pradesh,2021-08-21
14,Male,25,Pune,Maharashtra,2025-06-28
15,Female,50,Pune,Maharashtra,2024-12-30
16,Male,27,Pune,Maharashtra,2023-10-27
17,Male,51,Bengaluru,Karnataka,2025-04-08
18,Male,36,Hyderabad,Telangana,2025-09-02
19,Male,31,Delhi,Delhi,2022-10-26
20,Male,20,Bengaluru,Karnataka,2021-09-01
21,Male,58,Ahmedabad,Gujarat,2021-08-29
22,Male,40,Mumbai,Maharashtra,2025-12-02
23,Female,57,Bengaluru,Karnataka,2022-07-12
24,Male,28,Delhi,Delhi,2024-07-20
25,Female,64,Hyderabad,Telangana,2021-03-16
26,Male,23,Jaipur,Rajasthan,2021-10-10
27,Female,51,Pune,Maharashtra,2025-09-28
28,Female,18,Hyderabad,Telangana,2025-04-08
29,Female,52,Chennai,Tamil Nadu,2021-03-28
30,Female,42,Mumbai,Maharashtra,2023-05-31
31,Male,46,Chennai,Tamil Nadu,2025-07-15
32,Other,40,Pune,Maharashtra,2023-07-19
33,Female,35,Mumbai,Maharashtra,2024-03-18
34,Female,31,Surat,Gujarat,2024-03-19
35,Female,34,Surat,Gujarat,2025-05-20
36,Male,19,Jaipur,Rajasthan,2021-06-09
37,Female,48,Bengaluru,Karnataka,2022-03-22
38,Male,36,Mumbai,Maharashtra,2025-12-25
39,Female,49,Ahmedabad,Gujarat,2021-03-23
40,Male,45,Hyderabad,Telangana,2023-10-28
41,Female,58,Mumbai,Maharashtra,2021-07-01
42,Male,25,Hyderabad,Telangana,2023-05-20
43,Male,59,Mumbai,Maharashtra,2023-08-24
44,Female,58,Indore,Madhya Pradesh,2025-03-30
45,Female,57,Bengaluru,Karnataka,2022-04-23
46,Female,56,Ahmedabad,Gujarat,2021-07-02
47,Male,39,Bengaluru,Karnataka,2024-08-30
48,Male,41,Hyderabad,Telangana,2025-04-29
49,Female,55,Chennai,Tamil Nadu,2021-06-23
50,Other,19,Pune,Maharashtra,2021-01-14
51,Female,58,Surat,Gujarat,2024-08-16
52,Male,58,Jaipur,Rajasthan,2021-03-14
53,Female,36,Indore,Madhya Pradesh,2025-10-25
54,Male,58,Indore,Madhya Pradesh,2022-05-29
55,Female,19,Chennai,Tamil Nadu,2025-10-12
56,Male,45,Indore,Madhya Pradesh,2025-12-02
57,Male,49,Mumbai,Maharashtra,2022-08-25
58,Female,36,Pune,Maharashtra,2021-12-09
59,Female,33,Mumbai,Maharashtra,2024-11-20
60,Male,47,Bengaluru,Karnataka,2025-11-23
61,Male,39,Delhi,Delhi,2021-11-29
62,Male,31,Bengaluru,Karnataka,2021-12-21
63,Female,18,Lucknow,Uttar Pradesh,2025-05-02
64,Male,62,Delhi,Delhi,2023-04-27
65,Male,19,Bengaluru,Karnataka,2021-06-12
66,Female,39,Chennai,Tamil Nadu,2021-04-26
67,Female,63,Pune,Maharashtra,2024-11-27
68,Female,50,Jaipur,Rajasthan,2024-01-08
69,Female,32,Mumbai,Maharashtra,2025-01-10
70,Female,58,Surat,Gujarat,2023-10-29
71,Female,39,Jaipur,Rajasthan,2023-11-13
72,Female,57,Pune,Maharashtra,2025-12-10
73,Female,56,Mumbai,Maharashtra,2023-03-02
