order_id,customer_id,order_date,product_id,quantity,unit_price,discount_pct,discount_amount,revenue,cost,profit,order_status
1,7743,2023-02-11,604,5,831.31,0.15,623.48,3533.07,2981.1,551.97,Completed
2,7359,2022-06-26,380,1,286.97,0.1,28.7,258.27,206.23,52.04,Completed
3,9152,2022-04-29,522,3,440.52,0.2,264.31,1057.25,1079.85,-22.6,Completed
4,8073,2023-09-06,504,2,817.13,0.05,81.71,1552.55,919.8,632.75,Cancelled
5,1180,2022-12-31,333,1,840.39,0.15,126.06,714.33,514.47,199.86,Completed
6,4493,2023-05-01,576,1,271.79,0.1,27.18,244.61,186.36,58.25,Completed
7,9833,2022-11-18,186,4,2997.87,0.1,1199.15,10792.33,9676.92,1115.41,Completed
8,8160,2022-05-19,449,2,2616.03,0.0,0.0,5232.06,3665.82,1566.24,Cancelled
9,3162,2022-11-29,135,1,1032.37,0.0,0.0,1032.37,842.94,189.43,Completed
10,9472,2022-08-12,840,2,2640.21,0.05,264.02,5016.4,3216.28,1800.12,Completed
11,3349,2023-07-26,374,1,271.44,0.05,13.57,257.87,186.79,71.08,Completed
12,3702,2024-02-15,198,2,874.98,0.0,0.0,1749.96,1300.5,449.46,Returned
13,2862,2024-08-24,957,2,32007.59,0.15,9602.28,54412.9,45621.5,8791.4,Cancelled
14,879,2023-08-16,789,2,21361.28,0.0,0.0,42722.56,29561.92,13160.64,Completed
15,4439,2024-03-19,112,1,17887.02,0.05,894.35,16992.67,12247.05,4745.62,Completed
16,8767,2024-09-13,139,1,7663.52,0.05,383.18,7280.34,4474.05,2806.29,Completed
17,29,2024-10-20,134,1,18669.31,0.0,0.0,18669.31,12737.32,5931.99,Completed
18,1601,2024-05-10,158,1,3107.45,0.1,310.74,2796.71,2433.79,362.92,Cancelled
19,3721,2022-07-06,131,2,8616.7,0.2,3446.68,13786.72,10846.5,2940.22,Completed
20,7619,2022-09-06,977,3,6950.85,0.1,2085.26,18767.29,13907.55,4859.74,Completed
21,5001,2024-12-04,752,2,268.38,0.0,0.0,536.76,392.54,144.22,Returned
22,3548,2024-10-20,78,1,854.24,0.0,0.0,854.24,552.9,301.34,Completed
23,5879,2022-09-03,679,4,732.77,0.1,293.11,2637.97,2216.36,421.61,Cancelled
24,272,2024-07-15,252,1,256.3,0.15,38.44,217.86,154.61,63.25,Completed
25,6343,2022-01-15,10,3,167.85,0.15,75.53,428.02,356.58,71.44,Completed
26,3601,2024-04-05,777,1,6413.12,0.0,0.0,6413.12,3592.79,2820.33,Completed
27,3045,2023-11-20,961,1,3212.4,0.0,0.0,3212.4,2521.95,690.45,Cancelled
28,8934,2023-12-28,919,3,18469.11,0.2,11081.47,44325.86,34002.81,10323.05,Completed
29,3106,2023-06-21,944,1,8879.72,0.0,0.0,8879.72,4957.77,3921.95,Completed
30,275,2023-05-07,845,2,443.35,0.0,0.0,886.7,688.34,198.36,Completed
