payment_id,order_id,payment_method,payment_status
1,1,UPI,Paid
2,2,COD,Paid
3,3,UPI,Paid
4,4,Credit Card,Failed
5,5,Credit Card,Paid
6,6,Debit Card,Paid
7,7,UPI,Paid
8,8,UPI,Failed
9,9,Credit Card,Paid
10,10,Net Banking,Paid
11,11,Debit Card,Paid
12,12,UPI,Refunded
13,13,COD,Failed
14,14,UPI,Paid
15,15,UPI,Paid
16,16,Credit Card,Paid
17,17,Credit Card,Paid
18,18,COD,Failed
19,19,Credit Card,Paid
20,20,Debit Card,Paid
21,21,Debit Card,Refunded
22,22,COD,Paid
23,23,Debit Card,Failed
24,24,UPI,Paid
25,25,Debit Card,Paid
26,26,Credit Card,Paid
27,27,Debit Card,Failed
28,28,COD,Paid
29,29,COD,Paid
30,30,Debit Card,Paid
31,31,Debit Card,Refunded
32,32,UPI,Refunded
33,33,UPI,Failed
34,34,Credit Card,Paid
35,35,Credit Card,Paid
36,36,Credit Card,Paid
37,37,UPI,Paid
38,38,Credit Card,Refunded
39,39,UPI,Refunded
40,40,UPI,Paid
41,41,COD,Paid
42,42,Net Banking,Paid
43,43,Net Banking,Paid
44,44,UPI,Paid
45,45,COD,Refunded
46,46,UPI,Paid
47,47,COD,Paid
48,48,Net Banking,Failed
49,49,Net Banking,Paid
50,50,Debit Card,Refunded
51,51,Net Banking,Paid
52,52,COD,Paid
53,53,UPI,Paid
54,54,Net Banking,Paid
55,55,Credit Card,Refunded
56,56,UPI,Paid
57,57,COD,Paid
58,58,Credit Card,Paid
59,59,Credit Card,Failed
60,60,Credit Card,Paid
61,61,Credit Card,Paid
62,62,Credit Card,Refunded
63,63,Credit Card,Paid
64,64,Debit Card,Paid
65,65,UPI,Paid
66,66,UPI,Failed
67,67,Net Banking,Paid
68,68,Debit Card,Failed
69,69,Net Banking,Paid
70,70,Credit Card,Paid
71,71,UPI,Paid
72,72,Debit Card,Paid
73,73,Credit Card,Refunded
74,74,Credit Card,Failed
75,75,Credit Card,Failed
76,76,UPI,Paid
77,77,Net Banking,Failed
78,78,UPI,Failed
79,79,Net Banking,Paid
80,80,UPI,Refunded
81,81,COD,Paid
82,82,Debit Card,Paid
83,83,Debit Card,Paid
